"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,0.4,2,-1.8,2.4,0,1.1,NA,-3.2,-6,-2.5,-0.8,-2.7,1.7,2,-0.8,-3.8,2,-8.1,-0.9,2.4
1851,-0.3,3.2,1.2,1.8,-1.1,1,-4.3,-3.5,-1.8,-3.9,0,-1.3,1.3,1.3,0,-3.5,1.6,-3.2,-1.5,3.2
1852,0.6,2.5,-2.8,1.8,-0.3,1.2,-2.3,-2.9,-1.6,-0.2,-0.3,-1.9,-1,0.4,-0.5,-1.1,0.9,-6.5,0.7,2.5
1853,-0.1,3.7,0,-0.1,0.9,-0.3,-2.8,1.9,-3.1,-2.7,-0.8,-0.9,1.9,1.8,0.3,-2.1,1.4,-5.1,-2.3,3.7
1854,0.4,5.7,-1.3,1.1,-0.5,-0.4,-3.6,1.9,-0.7,-1.8,-0.7,-1.3,0.4,0.9,-1.1,-3,1.4,-3.2,-2.2,5.7
1855,0.4,7.6,-2.8,2,0.3,-0.4,-2.9,-3.1,-1.8,-0.6,0.2,-2.5,0.5,0,1.3,-0.6,2.4,-7.1,-3.5,7.6
1856,0.2,2.3,-2.4,-0.5,0.6,-0.7,-4.2,0.2,-1.5,-1,-1,-0.1,2.2,-0.2,0.1,-1.1,1.6,-5.6,-1.2,2.3
1857,0,3.9,-2.2,0.9,-0.3,0.6,-3.2,-0.5,1.1,-3.7,1.1,-0.5,0.4,1.1,-0.9,-2.5,1.5,-4,-1.4,3.9
1858,-0.5,2.4,-1.1,0.3,-0.1,-0.6,-3.8,-2.8,-2.9,-2.1,1.4,0.4,-1.9,1.6,-1.2,-1.1,1.6,-5.5,-1.4,2.4
1859,1,0.6,-2.3,2.3,0.8,0.4,-2.5,-0.2,-1.8,-2.2,-0.4,-2,0.3,0,0.2,-1.3,2.5,-4.6,-1.1,2.5
1860,0,3.8,-3,0.2,-0.1,1.1,-2.7,0,-2.9,-1.2,-2.1,-0.8,1.4,0.7,-1.5,-2.4,1.8,-4.3,-1.7,3.8
1861,0.8,4,-0.7,1.4,-1.9,1.3,-4.1,-3.3,-2.8,-3.6,-0.4,-0.1,1.5,0.7,-0.8,-1.6,1.1,-3.9,-3.1,4
1862,0.1,6.3,-2.4,1.3,-1.5,-1.4,-3.2,-1,-3,-4.4,-0.3,-0.8,3,0.5,-2.7,-2.8,1.5,-4.8,-1.6,6.3
1863,-0.4,3.6,2.3,1.4,-1.6,-1.1,-3.7,-0.4,-0.1,-3.7,-1.7,-0.6,1.5,0.7,-2.6,-0.8,0.2,-7.4,-1.3,3.6
1864,0.1,1.2,1.2,-1.5,-0.7,-0.3,-2.1,-1,-2.5,-2.3,-1.9,-1.2,0.2,0.8,0.6,-1.8,3.4,-3.8,-0.6,3.4
1865,-0.5,5.7,0.7,-0.6,0.7,2.5,-3.4,2.3,-5.6,-1.2,-0.4,0.2,1.2,0.2,-1,-3.9,1.1,-4.3,0.9,5.7
1866,0.4,2.8,0,0.1,1.1,2.1,-5.2,-0.9,-1.4,-1.6,-1.4,0.2,2,1.2,0,-1.1,0,-4.5,-0.1,2.8
1867,0.1,6.7,0.1,2,-0.2,-2,-3,0.8,-3.3,-1.5,-1.2,-1.3,-1.6,1.8,-0.8,-0.9,2.1,-6.9,-0.3,6.7
1868,0.6,5.9,-0.6,1,-0.7,0.6,-3.6,-1.3,-1.9,-1.7,0.1,0.3,0.7,0.2,0.4,-4.6,2,-5.2,-0.7,5.9
