"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,2.4,0.3,-4.9,1.9,2.1,5.4,1.8,1.4,-0.5,2,3,1.5,4.5,5.1,2.5,-0.1,1.5,0.8,2.8,1.8
2016,2.6,1.4,0.2,1.4,2.9,3.6,1.2,1.4,0.6,5.1,4.4,1.2,3.8,4.7,-0.9,1,2.5,1.4,0.8,2.1
2017,3.2,0.1,2.1,1.2,2.8,4,2,1.8,-0.7,2.8,3.9,2.3,1.7,4.5,0.8,1.1,3.7,2.5,2.8,2.2
2018,4,1.9,-1.1,0.8,2.6,3.8,3.9,0.4,-0.4,4.7,1.7,2.2,3.2,4.5,1.7,1.5,3.5,3,1.9,2.3
2019,3.3,1.8,-1.2,1.3,2.9,5.7,3.4,1.1,0.4,1.4,1.7,3.5,4.6,4.4,2.2,1.1,3.7,1,2.9,2.4
2020,3.7,0.7,-0.7,1.7,3.3,3.5,4.1,0.9,-0.3,0.9,2.9,2.7,3.1,4.6,2.7,1.1,4.7,0.8,1,2.2
2021,3.5,1.8,0.6,1.8,3.5,4.2,2.7,0.8,-0.7,3.5,5.4,3.6,3.8,4.8,0.6,1.7,2.5,2.4,2.7,2.6
2022,3.3,2.2,2,2.1,3,4.6,3.3,0.3,0.9,4.5,0.6,2.8,2,4,2.9,1.7,2.8,1,3.5,2.5
2023,4.3,0,0.1,2.8,3.8,3.5,1.5,-1.1,0.3,1.8,3.2,1.6,3.4,4.6,1.9,1.5,1.4,1.9,3,2.1
2024,3.7,3.1,-3.3,2.7,2.7,5,3.4,2.2,0.9,4.3,2.4,3,6,5.4,2.3,0.7,3.1,0.9,2.5,2.7
2025,3.1,3,1.4,2.6,2.8,4.1,2.2,5,0.7,4.2,3.4,2.4,3.8,4.2,1.8,1.8,2.8,0.5,2.7,2.8
2026,3.6,3.7,-1.5,2,3.9,3.4,4.2,0,0.2,5.9,3.8,2.2,3.5,5.4,1,0.8,3.4,1.2,2.4,2.6
2027,3.8,2.4,-2.8,2.3,4.2,4.7,3.1,-0.3,1,4.6,4.4,2.7,2,4.9,-0.1,1.8,5.2,4.4,2.8,2.7
2028,3.9,1,0.9,2,3.6,3.8,2.5,4.1,1.5,3.7,4.3,3.8,3.4,5.7,2.9,1.4,2.9,0.5,3.3,2.9
2029,3.8,2.9,1.7,2.1,2.9,3.3,2.6,0.2,0.7,1.9,4.2,3.6,4.7,5.3,2.1,1.7,4.6,1.9,3.3,2.8
2030,3.9,1.6,0.3,2.5,2.9,4.5,3.5,3.7,0.1,0.3,3.4,3.8,4.2,5.4,1.4,2,1.8,1.5,3.2,2.6
2031,3.9,0.6,-1.2,2.6,3.3,4.9,3.6,1.7,0.8,2.6,-0.3,2.5,4,5.7,2,1.4,4.8,0.8,3.4,2.5
2032,3.3,2,1.5,2.5,3.4,4.5,4.1,1.3,1,2.6,1.8,2.4,4.8,5.7,1.4,1.5,4.2,3,2.3,2.8
2033,3.6,3.1,0.2,2.7,3.4,4.5,2.9,1.5,0.9,3.5,3.8,3.6,6.2,5.1,0.9,1,4.1,2.2,2.8,2.9
2034,4.3,2.1,1.4,2.1,2.9,3.3,3.9,1.3,0.8,4.9,2.4,3.3,3.9,4.9,0.2,1.1,0.7,3.3,3.4,2.6
2035,4.7,1,2.4,1.9,3.3,3.6,2.5,3.2,0.6,-0.5,4,3.4,3.9,5.9,2.8,2,0.7,2.2,3.2,2.7
2036,4.3,3.6,1.2,3,2.4,5,2.5,1.8,0,4,3.5,4.2,4.9,5.4,3.4,1,2.7,1.7,4,3.1
2037,4.3,1.2,-3.9,2.3,4.3,4.5,4.7,1.3,0.9,3.5,3.9,4.4,3.5,4.8,1.7,1.2,4.2,1.5,3.9,2.7
2038,4.9,-0.6,2.8,2.9,4.1,4.2,3.8,2.4,1.1,1.1,2.4,3.5,4.8,5.9,4.3,2.8,4,1.4,4.2,3.2
2039,4.4,3.8,1,3.3,3.6,3.9,4.5,2.7,0.8,4.3,3.3,3.7,3.9,5.5,3.9,1.7,4.6,2,4.4,3.4
2040,3.7,-0.9,0.7,2.3,3.4,5,3.4,1.9,0.6,2.6,4.7,3.7,3.5,5.8,3,1.6,4.2,2.7,4,2.9
