"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,699.5,380.1,461,549.5,417.6,400.1,NA,589.3,403.4,529.4,590.6,626.1,1165,787.5,571.8,495,614.5,484.4,525.4,571.7
"historical",1851,689.8,384.7,465.3,504.8,458.9,457.7,364,573.3,392.4,632.5,595,600.4,1038.7,736.7,537.5,478.6,650.4,523.3,562.6,560.3
"historical",1852,685.2,507.1,414.3,510.8,501.1,399.7,366,661,429.3,598.4,624.8,598,1120.6,783.9,549.7,493.1,638,522.7,556.8,576.9
"historical",1853,725.6,473.1,406.7,553.2,401.5,424.4,422.1,604.7,432.4,565.3,567.3,628.5,1079.8,713.6,552.6,508.1,620,523.8,535.1,565.1
"historical",1854,686.4,403,399.4,567.9,440.8,380.5,416.4,594.7,377,561.9,585.1,622.8,1114.7,689.5,516.4,497.1,600.7,574.4,573.4,558
"historical",1855,662.8,375.3,410.3,526.1,436.2,417.3,415.4,637.7,400.7,613.3,584.2,609.7,987.9,708.6,526.3,506.1,604.2,530.7,534.9,552
"historical",1856,652.7,410.7,409.8,514,369.4,416.4,412.8,687,429.9,547.4,601.5,641.2,1060.6,782,523.8,509.8,632,568.5,545.1,563.9
"historical",1857,603.6,403.3,463.2,489.9,452.8,450.9,357.1,609.4,365.5,580,618.9,622.8,1055.9,686.2,557.9,519,609.2,558,571.2,556.6
"historical",1858,624.7,435.2,495.1,487.6,407.4,434.5,443.1,624.1,410.7,559.8,591.4,628.3,1104.9,707.4,523.8,495.8,526.6,522.7,542.4,556.1
"historical",1859,634.1,348,437.2,545.5,448.3,398.1,390.1,605.6,369.6,552,606.2,613.7,984.8,736.2,575.9,467.7,553.7,544.5,526.7,544.1
"historical",1860,656.4,455.7,405,556,439,436.3,408.1,625.2,373.5,552.2,596.7,600.2,923.7,716.3,497.6,512.2,665.4,515.6,540.8,551.4
"historical",1861,617.2,449.5,403.8,515.1,415.2,462.7,385.5,660.7,400.6,545.1,596.8,659.6,1019.8,763.6,527.2,470.7,589.5,585.1,550.7,558.9
"historical",1862,681.6,494.5,475,504.4,429.4,403.1,412.3,618.6,429.7,584.4,607.7,620.6,1109.9,695.7,551.9,511.9,661.2,475.4,555.4,569.6
"historical",1863,608.1,430.3,423.6,559.6,446.2,412,405.5,584.9,390.2,523.7,633.7,636.3,1020,712.4,501.5,461.2,574.1,560.7,581.7,550.8
"historical",1864,680.5,490.2,464.7,482.1,461.1,416,402,554.1,448.2,714.2,595.7,643.4,1045.3,719.7,554.8,493.8,693.9,551.4,549.1,576.9
"historical",1865,682.8,373.7,494.9,520.7,447.6,441.3,362.3,586.9,373.4,668.9,594.9,657.8,987.4,676,559.7,529.4,662.4,546.1,527.5,562.8
"historical",1866,631.3,470.9,454.9,504.7,427.2,451,417.7,499,385.6,541.4,603,636,1068.2,734.3,599.4,460.4,640.2,491.1,588.2,558.1
"historical",1867,603.4,476.5,458.9,542.2,437.2,428,423.6,599.8,377.4,621.3,576.3,664.7,1118.4,683.5,511.7,501.1,653,542.6,553.9,567
"historical",1868,663.5,402.6,408.3,518.4,439.3,448.4,350,701.2,427.7,624.6,625.2,649.7,1066.7,727.9,546.9,486.2,557.6,555.3,510.6,563.7
"historical",1869,625.9,430.1,427.5,502.9,423.2,441.9,377,676.6,424,522.6,636.9,620.4,1183.1,648.4,553.2,505.2,608.7,495.2,619.6,564.3
"historical",1870,677.5,464.1,460.5,522.7,432.5,392.9,375.8,588.3,387.6,639.6,548.2,647.1,1083.5,720.7,601.6,475.8,544.6,564.4,575,563.3
"historical",1871,658.2,490.5,459.8,565.3,457,383.9,419.6,701.5,423.3,579.8,568,653.4,1002.8,758.7,539.4,530,606,583.8,563.3,576
"historical",1872,650.2,343.9,484.4,496.3,466.2,401.9,387.6,659.7,413.4,668,627.9,629.6,1013.9,725.5,578.3,560,661.5,515.7,546,570
"historical",1873,673.7,377.4,444.9,468.9,452.7,389.6,385.6,615.6,449.5,567.3,595,609.6,1058.4,717.8,556,525.4,638.9,536.1,515.5,556.7
"historical",1874,694.6,460.5,493.7,527.9,499.1,422.2,409.8,638.7,413.9,620,585.7,616.2,1163,690.2,530.6,482.1,582.6,546.8,558.9,575.6
"historical",1875,627.2,470.4,425.8,526,460.9,415.2,462.8,622.5,348,597.8,623.2,677.5,1124.1,748.4,619,436.4,603.6,499.2,632.7,574.8
"historical",1876,647.4,511.6,423.6,516.9,443.6,403.5,395.2,626.3,398,584.8,594.1,642.1,1056.7,738.4,532.2,466.8,622.7,501.8,590,562.9
"historical",1877,629.7,350.8,437,526.6,444.7,458,436.5,660,397.2,593.5,555.6,598.8,1189.8,670.2,556.1,438.6,647.7,500.6,551.8,560.2
"historical",1878,674.8,394.1,403.3,559.4,430.5,382.4,459.3,596.6,389.6,543,587.7,630.7,1119.2,710.3,544.1,516,627.1,524.2,528.2,559
"historical",1879,662.7,485.1,464.3,573.2,447.7,416,471.9,622.9,372.4,595.1,563.2,635,1040.3,702.8,520.5,539.5,566.5,584.7,597.4,571.6
"historical",1880,700.6,470.8,413.7,535.7,446.5,451.4,433.3,647.5,389.2,586.8,579.7,666,1079.5,717.4,546.1,488.9,620.1,558.6,587,574.7
"historical",1881,631.6,513.6,479.3,585,451.7,444.7,357.1,710.5,337.3,610,642.5,629.4,1022.2,702.5,493.1,510.9,662.1,560.9,543.4,573
"historical",1882,654.5,458.4,470.9,543,382.2,407.2,381.6,666.4,421,487.8,600.9,591.1,1038.1,744,587.2,526.5,610.2,501.1,597.9,561.6
"historical",1883,678.8,425,413,515.5,433,428.9,370.2,576.8,393.9,609.8,607.6,633.8,1082.9,703.7,561.3,503.7,615.7,526.7,519.2,557.9
"historical",1884,641.2,373.8,402.2,544.5,413.2,476,401.5,590.4,391.6,586,598.9,609.8,1034.5,725.5,582.8,459.6,560.1,502.9,488.6,546.5
"historical",1885,652.4,370.8,436.9,516.9,427.4,395.9,348.7,553.9,369.5,503.3,547.5,607.8,951.8,672.2,515.1,461.3,577.5,613.2,585,532
"historical",1886,643.3,378.9,418.4,557.4,433.6,388.7,397.6,656,407.3,596.7,562,648.5,1103.8,753.6,514.2,448.2,612.7,526.8,572.4,559
"historical",1887,668.2,474.9,438.7,509.3,413.7,460.8,444.2,634.9,412.9,538.6,542.4,620.9,1025.3,707.9,568.7,502.9,591.2,536.1,573.7,561.3
"historical",1888,633.5,440.3,515.2,527.7,487,459.5,400,600,394,493.9,588.8,618,1100,722,471.1,496.4,585.2,545.2,507.7,557.1
"historical",1889,670,442.1,425.2,544.9,401.1,440.8,412.3,622.3,435.9,651.5,598.6,622.9,1046.8,700.6,518.8,504,607.4,523,568.5,565.1
"historical",1890,680,496.3,449.5,503.7,420.8,383.4,420.9,621.2,388.8,611,625,625.2,1112.3,694.2,547.8,482.5,632.7,534,597.9,569.9
"historical",1891,648.4,427.7,413.2,554.1,462.2,394.6,390.8,615.8,409.8,572.8,560.9,612.4,1073.7,681,540.5,487.4,598.1,566.5,521.1,554.3
"historical",1892,639.8,463.7,418,540.2,460.1,384.8,402,561.9,437.1,550.8,658.6,639.8,1061.3,745.6,620.9,487.4,576.9,541.8,548.7,565.2
"historical",1893,747.1,479.1,532.8,539.5,408.8,386.1,462.7,654,382.3,607.2,611.1,620.9,1169.4,711,564.2,474,632.8,536.9,485.4,579.2
"historical",1894,617.7,430.8,487.6,512.6,419,424.7,426.5,585.3,407.1,571.2,616,662.3,971.8,733.9,552,544,592.7,494.1,557.4,558.2
"historical",1895,618.2,447.8,400.1,544.7,437,431.9,434.2,592.1,449,580.3,606.4,671.9,1015.9,697.3,544.7,487,616,512.8,560.3,560.4
"historical",1896,712.4,453.8,512.7,544.4,454.6,391.1,430.9,705,363.3,581.6,576.3,589.3,1020.1,715.9,505.7,474.2,570.9,495.2,549.5,560.4
"historical",1897,663.2,493.6,478.7,548.1,485,433.2,383.4,603.2,393.5,530.3,587.7,621.7,1071,726.4,528.7,510.4,561.2,546.6,547.8,563.9
"historical",1898,617.3,425.3,453.8,551.7,424,399.8,493.8,655.2,442.3,524.4,580.2,605,1105.9,685.6,500.7,485.8,614.6,593.1,552.3,563.7
"historical",1899,648.4,483.9,406.8,525.5,449.7,420.1,420.2,624.9,423.5,573.2,586.5,607.8,1107.2,700.3,508.6,505.4,639.2,538.2,541.4,563.7
"historical",1900,629.8,455.4,476,534.8,398.6,402.6,372.6,543.7,479.9,547.4,616.3,614.1,1128.2,736.1,576.8,519.1,592.5,541.7,509.3,561.8
"historical",1901,674.8,480.1,491,502.2,431.6,433.5,434.7,678.2,373.5,668,565.9,619.5,1045.2,726.8,528.9,491.7,579.7,554.4,540.4,569.5
"historical",1902,676.2,418.3,423.5,521,439.7,429.3,455.3,640.6,405.2,547.8,631.5,668.2,1058.5,697.8,529.7,489.8,643.7,514.2,582.8,567
