"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,-0.1,-14.2,-3.8,-0.5,1.8,2.9,NA,-1,-2.6,-3.8,2.4,-5.8,1.9,1.9,-1.7,-3,3.3,-1,-2.5,3.3
1851,-0.5,-10.6,-1.4,1.8,1.5,2.1,-1.9,0.2,-1.1,-1.7,2.6,-2,3,3.1,-1.1,-4.8,1.2,0.7,-2.2,3.1
1852,-0.9,-11.5,-4.9,1.1,1.9,3.5,0.1,-0.9,-2.3,-5.5,1.4,-0.5,1.3,1.2,-0.2,-2.7,2.1,0,-4.3,3.5
1853,-0.4,-16.1,-1.4,0,2,2.5,1.8,1.4,-2.5,-1.6,0.1,2.1,3.2,2.3,-1.1,-4.1,1.5,-1.6,-2.2,3.2
1854,-0.2,-9.3,-4.6,2.9,2.3,3.4,-2.2,2.6,-0.9,-1.9,0.8,-8.1,3.2,3.3,-1.4,-2.3,0.9,-0.6,-3.1,3.4
1855,-0.4,-19.7,-2.3,1.8,1,2.2,0.9,-2.9,-0.1,-3,2,-0.4,5,1.5,-1.5,-4.1,-0.2,-3.5,-4,5
1856,-1,-16.2,-0.2,0.2,1.5,2.2,-0.6,-1.6,-3.2,-3,1.7,-2.3,3,1.5,-0.9,-3.8,1.2,0.7,-3.9,3
1857,-1.9,-18,-1.5,-0.8,0.8,2.8,0.3,1.3,-1.9,-5.3,4.2,-3.7,3.4,2.3,-0.5,-2,1.5,-3.8,-2.9,4.2
1858,-1.1,-11,-1.3,-0.4,2.7,1.3,1.2,-4.5,-3.2,-4.3,1.8,-3.6,3.9,2.6,-0.5,-2.8,2.5,-2.8,-2.8,3.9
1859,-0.6,-13.1,-0.9,2.9,2,2.2,-0.4,1.3,-3.2,-2.9,1.4,-1.3,1.5,0.9,1.1,-2.4,2.8,-1.2,-1.4,2.9
