"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,251.9,186.8,125.9,196.9,109.7,97,NA,232.8,59,170.2,161.9,218.1,408.3,201.8,202.9,145.1,209.9,148.1,184.7,59
1851,216.8,122.5,141.4,179,75.8,112.1,120.5,181.5,64.7,202,211.4,210,422.1,207.9,165.7,161.7,273.3,135,190.3,64.7
1852,264.6,176.1,123.4,155.5,146.8,60.8,152.6,291.2,106.8,223.3,190.3,190.3,431.5,186.3,179.6,158.4,154.7,165.4,257.9,60.8
1853,293.7,190.1,100.3,186.5,99.6,50.5,149.8,226.6,84.9,238.4,110.9,230.1,404.1,246.1,205.7,138.8,173.5,121.7,123.2,50.5
1854,247.5,164.3,123.9,222.8,86.2,84.5,143.1,249.3,63.6,286.5,159.8,219.9,431.7,208.5,169.9,143,217.1,203.2,223.2,63.6
1855,256.9,123.5,108.3,186.2,69.3,76.4,96.7,271.2,54.1,232.6,158,193.9,380.3,217.7,194.1,164.5,236.1,166,175.9,54.1
1856,270.2,115.7,82.2,175.4,86.4,86.3,143.2,289.7,108.6,151.2,169.5,161.6,429.4,263,191.2,157.4,169.4,172.2,211.3,82.2
1857,190,171.8,127.4,147.9,104.4,105.5,127.6,270.9,101.3,215.9,208.2,229.7,411.8,182.3,192.4,156.8,176.7,192,182.6,101.3
1858,216.9,116.4,98.8,186.9,86.8,98.8,128.4,247.9,108.6,260.8,195.6,231.6,408,210,151.9,136.7,149.7,168.9,166.6,86.8
1859,225,129.9,136.4,211.3,117.2,85.2,127.4,234.5,85.5,202.3,191.7,206.5,410.4,230.4,184.8,126.5,180.1,167.7,176.1,85.2
1860,256,199.8,98.6,142,96.2,98.7,129.4,273.4,73.2,214.6,168,200.2,348.2,233,178.7,156.6,233.3,159.9,208.8,73.2
1861,197.3,176,108.6,182.8,110.8,71.4,136.5,230,70.6,190.7,146.1,234.4,407.8,251.3,186.4,110,201.8,213,168.8,70.6
1862,268.5,262.3,164.4,219.6,97.2,89.1,120.4,262.2,91.8,266.4,172.2,224.6,431.2,214.7,216.7,197.1,191.5,128.5,175.4,89.1
1863,249.6,107.3,123,191.2,101.9,41,120.2,237.5,75.2,201.3,226.9,206.1,430.6,169.9,165.3,76.1,181,161.7,197.2,41
1864,218.7,180.7,103.1,154.9,116.6,50.9,127.2,178.8,105.2,316.7,182.3,223,432.8,244.6,201.4,163.4,175.2,94,221.2,50.9
1865,313.8,122.8,113.5,195.3,124.2,102.9,99.8,183.1,96.4,286.3,169.7,168.2,372.8,157.6,180.7,169.6,160.5,119.2,195.4,96.4
1866,183.7,190.4,145.6,149.6,117.2,97.3,162.2,197,60.1,230,177.5,215,357.1,224.3,251,121.1,224.6,114.5,228.4,60.1
1867,202,242.4,89.9,209.2,86,87.4,93.6,226.7,85.2,241.6,153.7,257.6,376.7,205,200.2,143,160.6,182.2,241,85.2
1868,208.1,132.7,95.6,193.7,123.9,111.9,102.3,286,90.6,285.7,127.3,216.5,457.6,225,167.5,137.4,191.1,168.4,179.3,90.6
1869,147.9,183.9,137.1,152.6,86.7,76.8,133.9,249.7,93.4,183.8,164.9,182.6,477.8,204.6,162.8,155,246,165.5,232.3,76.8
1870,193.3,171.9,95.2,214.4,113.3,37.1,133,226.4,64.3,205.6,145,225.3,400.2,201.7,238.5,87.2,219.6,186.2,174.9,37.1
1871,170.3,233.8,155.8,169.1,108,62.2,151.2,289.3,87.9,258.1,179.5,252.1,431.1,254.9,179.9,170.4,184.3,159.6,137.2,62.2
1872,201.3,120.8,155.9,187.8,121.8,83.1,154.4,230.8,80.9,238.6,181,218.7,415.9,256.5,271.9,152.4,192.8,137.3,166.6,80.9
1873,239.2,147.4,133.5,143.4,109.5,73.5,97.2,198.5,112.2,290.4,190.8,191.6,443.4,234.3,134.5,158.8,227.4,161.6,169,73.5
1874,254,82.5,168.7,196,131.6,69.7,144.4,277.9,100.8,233.9,152,223.2,365.3,218,186.6,148.4,133.4,109.4,126.7,69.7
1875,153.1,224.7,117.4,217.2,94.9,114.4,115.6,215.4,80.4,174.3,157.2,210.4,395.3,172.6,192.7,101,205.7,156.6,177.5,80.4
1876,265.9,231.1,80.3,181.7,122.1,81.9,134.7,277,64.1,235,184.9,222.2,439.9,190.1,218,62.8,224.4,149,224.8,62.8
1877,220.6,104.4,117.2,181.3,105.1,128.8,125.6,289,79.8,245.4,167.7,222.6,431.7,180.9,144.6,101.1,217,162.4,160.7,79.8
1878,291,168.9,87.4,192.3,129.5,64.6,120.7,236.7,109.2,203.2,178.8,176.6,387.2,237,195.4,159.8,168.7,82.1,154.1,64.6
1879,252.5,143.5,108.1,237.6,115.2,90.8,177.8,253.2,79.5,169,176.8,204,409.5,168.1,130.5,165.5,190.5,181.9,236.2,79.5
1880,299.2,216.6,126.1,225.1,86,102.1,127.3,254,93.3,260.1,192.4,217.1,427,214.4,167.3,153.1,203.2,124.7,200.6,86
1881,260.3,266.9,155.5,171.4,142.4,56.7,112.5,317.1,105.9,271.4,231.4,208.8,326.8,195.6,202.8,153.4,239.3,141.2,214.6,56.7
1882,251.1,177.9,138.6,225.8,111.1,64.7,69.4,205.3,102.5,228.5,195.9,202.9,354.6,208.2,217.2,189.7,182.9,148.6,243.3,64.7
1883,237,185.1,102.1,164.6,85.1,100.5,165.6,205.8,103.9,223.6,158.8,208.4,426.7,201.5,220.7,144.1,176.1,127.1,135.4,85.1
1884,235.8,94.2,71.4,200,77.7,103.8,163.5,212.3,108.5,252.2,177,198.3,419.1,186.1,245.4,150.5,195.6,156.2,196.5,71.4
1885,224.3,122.9,172.9,142.2,81.1,71.8,128.9,158.6,50.4,164.5,227.1,185.6,428.2,194.8,204.9,155.2,223.8,226.1,218.1,50.4
1886,226.1,110.1,120.7,187.2,92.4,60.6,126.2,270.4,90.1,153.3,149.1,224,305.7,231.6,161.7,121.3,232.8,117.9,171.4,60.6
1887,290.9,170.5,108.3,154.8,116.1,64.6,155.4,290.2,70.6,178.2,169.3,218.6,326.6,155,216.7,176.4,211.1,132,172.1,64.6
1888,223.7,140.1,175.8,169.6,66.5,111.1,96.3,243.2,74.7,170.2,173.8,179.9,423.7,242.3,140,103.1,205.7,172.2,151.2,66.5
1889,210.1,186.9,105,226.4,69,109.3,179.6,246.9,109,271.2,171.7,193.5,463.3,221.9,167.4,154.4,163.3,131,130,69
1890,252.8,156.9,126.7,134.1,122.2,55.2,140.8,179.2,118.6,214.6,194.6,217.2,411.7,221.8,194.2,146.3,199.3,159.4,281.8,55.2
