"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,3.6,0,2.3,2.3,3,3.9,1.1,1.3,-0.6,2.9,2.6,2.9,5.4,4.8,1.5,0.8,2.8,2.2,2.7,2.4
2016,3.8,-0.4,1.4,1.9,2.8,4.4,0.8,0.6,-0.6,4,4,2.5,3.6,4.6,0,0.6,3.6,0.2,2.2,2.1
2017,4.1,0.3,-1.4,2.5,3.2,2.5,1.3,1.9,-0.4,5,3.2,2.4,2.7,5.6,1.8,1,1.8,0.6,1.6,2.1
2018,4.3,0.9,-0.9,2.8,2.6,3.9,1,1.5,-0.5,3.3,3.6,3.2,5.7,4.7,0.9,0.3,4.8,0.7,2.8,2.4
2019,4.2,0.6,0.7,3,3.5,4.2,1.2,0.3,0.1,2.3,3.8,2.4,6.3,4.7,0.2,0.3,2,1.2,2.2,2.3
2020,4.8,1.2,1.9,2,3.9,3.8,0.9,1,0.3,3.4,4.3,2.7,5.4,5.6,0,0.2,2.4,1.2,2.5,2.5
2021,4.7,1.6,0.9,2.6,3.6,3.8,1.6,1.2,0.3,4.5,5.6,2.5,5.5,5,1.7,0.5,3.1,0.9,1.9,2.7
2022,4.1,0.3,1.6,2.2,3.4,4.5,1.7,0.7,0.7,2.5,1.4,2.8,4.7,4.9,1.6,1.1,4.1,2.2,2.7,2.5
2023,5.2,0,2.3,2.4,3.6,4.6,2,2,-0.2,3.5,3.9,3.5,4.9,5.1,0.7,0.6,4.3,1.6,3.1,2.8
2024,4.3,-0.8,0.2,1.5,2.6,3.8,0.4,1.4,-0.4,3,3.9,3.3,5.5,5.8,2,0.4,4.6,0.6,2.7,2.4
2025,4.1,-1.3,-0.3,2.9,3.3,3.4,2.8,1.2,1.3,1.6,4.4,3.8,4.7,4.5,2.2,1,3.6,0.5,3,2.5
2026,4.2,0.5,0.3,2.1,3.6,4,1.2,1.7,-0.3,4.2,5.6,3.2,5.6,5.3,2.2,0.5,3.2,1.8,4.5,2.8
2027,4.6,0.1,-0.2,3.2,4.3,3.6,2.4,0.8,0.6,2.5,4.2,1.5,5.5,4.3,0.7,0.7,2.6,1.7,4,2.5
2028,4.7,2.4,0.7,2.5,3.6,3.4,1.8,2.1,0.1,3.7,4.1,3.3,6.5,5.8,0.4,0.3,5.6,1,2.4,2.9
2029,5.2,1.6,1.9,3.3,3,4.7,1.5,1.4,-0.2,1.8,3.7,2.6,6,6.6,1,1.1,5.8,0.3,3.2,2.9
2030,4.4,2.4,0.2,3.1,3.4,3.8,2.3,1.3,0.5,1.1,5.3,2.9,3.2,5.6,1.2,0.9,3.1,-0.2,3.7,2.5
2031,4.8,-0.1,1.4,2.7,3.5,5.2,1.4,1.5,1.6,4.9,5.8,3.4,4.2,5.5,1.2,1.6,1.6,1.6,3.9,2.9
2032,4.4,5,2.9,2.5,3.5,3.9,2.5,2.5,-0.1,4,4.8,3.9,7,4.9,2.4,1.4,2.6,1.5,4.3,3.4
2033,4.9,-0.3,-0.6,3.1,4,4.4,1.7,0.8,1,2.5,2.5,3.9,5.7,4.7,2.8,1.2,3.9,0.3,3.8,2.6
2034,5,0.9,-2.1,3.2,3,5.6,2.2,1.7,0.9,4.4,5.2,3.5,5.4,5.2,1.1,1,3.6,1.9,4.3,2.9
2035,4.7,1.3,1,3.2,3.5,4.4,2.3,2.4,1.1,2.8,4.2,3.9,5.9,5.8,2,1,5.1,2,3.9,3.2
2036,5.1,1.1,-1.8,3.3,3.2,4.8,2.2,1,0.9,3.1,4,3.4,3.9,5.8,1.6,1,2.8,1.1,3.8,2.6
2037,5.2,0.5,2.2,3,4.1,4.9,2.9,2.4,0.9,5.1,4.4,3.9,4.9,4.9,1.5,1.1,5,2.2,4.6,3.4
2038,5.4,1.9,3.3,3.5,3.9,5.2,1.5,1.6,0.1,5.1,3.5,4,6.7,5.8,3.1,1.4,3.4,1.8,4.4,3.5
2039,5.1,2.4,1.3,3.8,3.5,3.9,2.6,1.6,0.9,3.4,5.7,4.7,4.9,6.3,2.3,1.5,3.4,0.1,5.2,3.3
2040,5.6,2.2,2.9,3.8,4,4.2,1.7,0.7,0.8,4.3,5,3.9,6.2,5.2,2.6,1.1,3.7,0.7,4.6,3.3
2041,5.3,2.8,1.4,4,2.6,4.5,2.4,2.9,1.3,4.5,5.8,4.1,7.4,4,1.4,1.6,2.9,1.9,6,3.5
2042,5.3,1.7,1.5,3.6,3.6,4.3,2,2,1,4.3,4.8,3.6,5.8,4.7,1.8,1,3.5,2.1,4.9,3.2
