"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,0.4,3,-1.1,-1.3,0.6,1.2,NA,-2.4,-3.9,-2.9,0,-0.8,0.7,0.9,-1.7,-4.2,-0.5,-5.6,-2.9,-1.1
1851,0.3,5.3,-1.1,-2.1,-1.7,0.5,-2.7,-1.8,-2.9,-2.1,0.7,-0.4,1.9,0.8,-2.4,-2.9,-1.5,-6.1,-3.1,-1.1
1852,-0.8,4.8,-0.9,-1.6,0.6,0.2,-5.8,-1.5,-3.9,-0.9,1,-0.8,0,0.9,-0.5,-3.5,0.1,-5.4,-1.5,-1
1853,0,4.4,-4.6,-1.3,-1.5,0.7,-4.5,-1.7,-4.3,-1,0.6,-0.7,3,-0.1,-2.5,-3.2,-0.4,-4.4,-3.3,-1.3
1854,-1.2,5.7,-1.7,-0.9,0,-0.3,-4.4,-2.3,-4.2,-2.8,-1.6,-0.7,2.3,0.1,-1.6,-2.4,-2.8,-5.1,-3.3,-1.4
1855,-0.4,2.9,-4,-0.7,-0.4,1,-3.3,-2,-2.5,-1.8,-0.7,-0.5,1.8,-0.3,-1.4,-2.7,-1.5,-5.6,-1.8,-1.3
1856,-0.3,5.2,-7.2,-1,-1,-0.7,-5.5,-3.3,-4,-4.3,2.2,-1.2,1.5,0.4,-3.2,-3,0.7,-7,-2,-1.8
1857,-1.1,4.2,-1,-1.4,-0.1,0,-3.4,-1.8,-4.6,-1.6,0.6,-0.3,1.2,0.1,-1.9,-2.9,-0.3,-5.9,-2.1,-1.2
1858,-0.2,1.6,-4.4,-2,-0.4,0,-4.8,-2.8,-4.8,-1.8,-0.3,-1.6,1.9,0.8,-2.4,-2.6,0.5,-6.8,-3.2,-1.8
1859,0.3,3.8,-4.2,-0.8,0.5,0.6,-4.7,-1.2,-3.3,-1.6,0,-1.2,1.7,0,-2.1,-3.2,-0.9,-5.7,-1.7,-1.2
1860,-0.4,4.7,-1.8,-1.4,-2.1,0.7,-5.5,-1.1,-5.7,-2.3,0.3,-0.1,0.9,0.2,-2.3,-3.1,1.2,-7,-1.9,-1.4
1861,-0.4,8.6,-3,-1,0.1,-0.6,-6.3,-0.1,-3.8,-3.3,0.6,-1.8,1.6,-0.3,-2.3,-3.6,-2.6,-4.4,-2,-1.3
1862,-0.5,3.6,-3.5,-1.7,-0.3,0.6,-3.2,-2.4,-4.6,-1.7,0,-0.8,-0.7,0.5,-1.2,-3.8,-0.9,-6.9,-2.4,-1.6
1863,0.1,4.4,-1.9,-1.4,-0.7,0.8,-5.8,-1.9,-3.1,-3.1,-0.1,0.3,2.7,-0.5,-3.8,-2.8,0.8,-4.5,-3,-1.2
1864,-0.5,4,-1.8,-1.6,-0.7,0.9,-4.6,-0.5,-2.5,-5.5,0,-1.5,2.7,-0.6,-1.4,-3.1,0.7,-5.1,-3,-1.3
1865,-0.3,2.1,-1.6,-1.6,-0.4,1.7,-4.5,-2.5,-5.1,-1.6,0,-1.2,1.5,1,-4.7,-3.6,-0.3,-6.1,-2.3,-1.6
1866,-0.8,6,-0.1,-1.4,-0.4,0.8,-5.3,-2.5,-5,-2.7,1.3,-1.7,0.5,1.4,-2.2,-3.2,-1.6,-4.6,-1.8,-1.2
1867,-0.9,3.9,-4.1,-1.9,-0.6,1.8,-3.7,-2.1,-5.1,-3.4,1.1,-1.9,1,0.4,-1.5,-3.8,0.6,-5.6,-2.1,-1.5
1868,-0.4,6.4,-2.6,-1.1,-0.4,1.6,-4.4,-1.3,-5.7,-2.9,1,-1.2,0.8,0.4,-1.6,-3.2,-0.5,-5.7,-2.3,-1.2
1869,-0.3,6.9,-2.3,-1.2,-0.3,1,-5,-2.2,-2.8,-1.6,0.4,-1.4,0.7,0.2,-0.8,-3.2,0.5,-7.5,-2.6,-1.1
1870,-0.8,2.8,-6,-0.7,0,0,-4.7,-2.8,-2.8,-1.6,0.4,-0.8,1.2,-1.2,-2.4,-4,-1.3,-4.9,-2.7,-1.7
1871,-0.3,4.3,-0.8,-2,0.4,0.9,-4,-3.2,-2.4,-1.9,1,-1.9,2,-0.1,-2.4,-2.6,-0.8,-4.1,-1.9,-1
1872,-0.4,5.7,-4.7,-1.3,0.5,0.5,-3.8,-2.8,-4.4,-3.2,-0.1,-0.6,0.9,1,-2.4,-2.7,0.5,-6.1,-1.5,-1.3
1873,0.2,5.7,-1,-1.4,0,1.9,-4.6,-1,-2.2,-2,-0.8,-1.7,1.4,-0.6,-3.4,-3.9,0.9,-4.7,-1.4,-1
1874,-0.4,5.2,-3,-1.9,0.1,0.8,-4.9,-2.2,-3.3,-2.8,0.7,-1.6,2.3,1.3,-2.7,-4.5,0.7,-5.5,-3.4,-1.3
1875,-0.7,5.3,-2.8,-2.1,-0.7,0.9,-7,-2,-3.5,-3.4,0.9,-1.6,1.2,-0.8,-2.2,-2.4,-0.1,-5.2,-1.3,-1.4
1876,-0.4,3.1,-2.4,-0.6,0.3,0.8,-2.1,-1.6,-5.5,-2.3,-0.5,-2,1.2,1.3,-1,-2.7,0.1,-6.1,-2.3,-1.2
1877,-0.5,3.8,-4.3,-1.5,-0.4,0.5,-4,-2.3,-4.4,-1.3,-0.2,-1.2,1.6,0.1,-2.4,-2,-0.3,-4.6,-1.6,-1.3
1878,-0.9,4,-0.4,-1.1,-0.1,0.4,-6.1,-1.6,-5.6,-2.6,0.4,-0.9,0.3,0,-0.3,-2.5,0,-6.2,-1.4,-1.3
1879,-0.7,6.7,-1.5,-2.7,-0.2,0.7,-4.9,-4.1,-4,-2.7,0.9,-2.5,2.4,0.1,-2.3,-3.1,-1.7,-3.9,-2,-1.3
1880,-0.2,4.9,-0.4,-0.6,-0.3,1.1,-3.9,-5.5,-4.5,-4.2,0.2,-0.9,2.1,0.5,-1.6,-1.6,0.5,-6.2,-3.2,-1.3
1881,-0.4,3.6,-0.6,-1.3,-0.1,1,-4.1,0.4,-4.9,-1.5,-1.1,-0.4,1.6,0.4,-3.3,-4.2,-1,-4.6,-2.7,-1.2
1882,-0.5,4.7,-4.7,-1.1,0.4,0.8,-4.5,-2.6,-2.1,-3.9,0.1,-0.8,-0.2,0.7,-0.6,-1.7,0,-6.2,-2.4,-1.3
1883,0,4.4,-4.9,-0.9,-0.4,0.5,-5.7,-2.8,-5,-3.8,0.2,-1.5,1.5,0.2,-1.5,-3.6,0.8,-6.5,-1.6,-1.6
1884,-1,6.5,-3.1,-2.7,-0.1,0.9,-5.5,-3,-5.7,-3.3,0.7,-0.6,1.4,-0.2,-4.2,-3.7,1.5,-5.8,-2.7,-1.6
1885,-0.6,2.7,-1.1,-1.1,-1.7,0.5,-5.9,-1.1,-4.7,-1.4,0.8,-0.9,2,0.3,-2.1,-3.6,-0.9,-7.3,-2.5,-1.5
1886,-1.1,3.7,-1.8,-2,-0.5,0.3,-4.3,-2.2,-4.1,-3.4,0,-1.5,0.7,-0.3,-2.3,-2.5,0.5,-6.8,-2.2,-1.6
1887,0,4.5,-2.5,-1.6,0.6,0.5,-3.7,-0.9,-3.5,-3.7,-0.6,-1.2,2.6,0.4,-2.6,-2.5,0.1,-4.4,-2.4,-1.1
1888,-0.5,1.8,-1.1,-1,0.1,-0.2,-4.5,-0.7,-5.3,-5,0,-0.8,1.5,0.7,-4.9,-3.2,-0.7,-5.7,-2.9,-1.7
1889,-0.5,3.1,-1.7,-1.7,-1,-1,-4.2,-2.6,-3.8,-1.7,-0.9,-1.3,1.6,0.7,-4.4,-3.7,1.1,-4.6,-2.2,-1.5
1890,-0.6,2,-3.2,-2.5,-0.1,1.4,-4.7,-0.8,-4.8,-1.6,0.1,-2.2,1.6,0.7,-2.5,-4.1,-1.6,-5.7,-2.8,-1.7
1891,-0.2,5.1,-1.4,-1.7,-1.2,0.8,-3.4,-1,-3.8,-3.5,0.2,-1.1,-0.4,-0.5,-2.8,-4.6,0,-6.8,-2.5,-1.5
1892,-0.7,6.2,-2,-2,-1.1,1.2,-4.1,-2.5,-5.3,-3,-0.1,-0.6,2.6,-0.3,-2.5,-2.2,-0.6,-5.7,-3.1,-1.4
1893,-1.7,4.6,-2.8,-1.1,-0.1,0.5,-4.5,-2,-2.9,-3,1.1,-0.3,0.5,0.7,-2.2,-3.3,0.4,-6,-2.1,-1.3
1894,-0.9,6,-2.4,-3.3,0.1,0.1,-5.1,-1.8,-3.1,-4.3,0.7,-1.2,2.8,1.3,-1.6,-2.8,-0.9,-2.8,-2.2,-1.1
1895,-0.1,4.1,-4.2,-1.7,0,-0.1,-7,-2.3,-3.5,-3,-0.8,-1.8,1.4,-0.5,-2.4,-3.3,-1.7,-6.5,-2.8,-1.9
1896,-0.7,5.5,-3.1,-1,-2.1,-0.3,-5.1,-2.8,-2.9,-2.1,-0.2,-1,2.7,-0.4,-1.8,-3.8,-1.9,-6.8,-1.8,-1.6
1897,0.1,5.6,-3.3,-1.5,-0.7,0.1,-3.8,-1.4,-3.6,-2.6,-1.2,-1.6,2.4,0.2,-2.7,-2.1,0,-4.5,-1.3,-1.2
1898,-0.5,5.1,-4.2,-2.5,-0.3,0.4,-3.9,0.8,-4.8,-2.8,-0.2,-0.5,1.7,-0.3,-1.8,-3.2,0.8,-5.5,-2.1,-1.3
1899,-0.6,4.1,-4.5,-1.1,0.1,-0.2,-4.2,-2.8,-3.3,-4.7,-1.1,-0.8,1.6,-0.2,-1.1,-3.5,-0.4,-5.4,-3.2,-1.6
1900,-0.1,4.5,-2,-2.3,-0.4,-1.1,-2.7,-0.8,-3.1,-2.4,0,-1,2,0,-2.5,-3,0.7,-6,-2.3,-1.2
1901,0.2,4.1,-4,-1.6,0.4,0.9,-4,0.8,-4.8,-3.2,-0.9,-1.9,1.2,-0.9,-3,-2.9,-0.7,-6.9,-1.8,-1.5
