"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,6.6,-1.2,4.2,4.6,6.2,7.1,NA,5.3,5.6,2.7,7.6,5,8.7,8.8,5.2,4.2,7.4,5.6,2.4,5.3
1851,5.3,-1.7,4,4.7,6.6,8.2,5.5,4.6,4.2,2.8,7.8,5.6,8.5,9.1,5.1,4,7.1,6.9,3.8,5.4
1852,5,-1.9,3.6,5,6.7,7.7,5.9,5.5,5.7,3.8,7.2,5.6,9.5,8.1,5.1,4.1,6.8,5.9,3.6,5.4
1853,6,-2,2.3,5.4,6.9,7.6,5.4,6.5,5.3,3.6,7.3,4.5,8.4,8.3,5.7,4.2,7.1,7.2,4.4,5.5
1854,6.2,-1.3,4.3,5.2,6.8,7.1,5.2,6.6,5.7,4.1,7.3,3.8,9.2,8,5.9,4.4,7.1,5.8,4.5,5.6
1855,5.1,-0.5,4.3,4.9,6.7,6.8,5.7,3.8,5.5,3.3,7.2,5.7,9.8,8.3,5.3,4.6,7.1,7.6,2.4,5.5
1856,5,-1.2,4.2,4.8,6.4,7.7,5.3,5.7,5.7,3.5,7.8,5,9.1,8.6,5.7,4.4,7.2,5.7,3.1,5.5
1857,5.7,0.8,3.8,5.1,6.4,7.4,5.3,5.4,7,3.3,8.2,5.2,9.1,9.3,6.1,4.9,6.4,6.9,3.1,5.8
1858,5.5,-1.7,3,4.6,6,7.2,5.4,5.3,3.5,5.6,7.2,5.3,8.7,8.3,5.8,4.7,7.6,6,3.5,5.3
1859,6.7,-2.1,2.4,5.7,6.8,7.2,5.5,5.6,6.9,4.2,7.9,5.3,8.5,9,5.2,4.5,6.9,7.1,3.7,5.6
1860,5.5,-1.7,4.3,5.3,6.9,7.2,5.7,5.7,4.3,3.2,7.7,5.7,10.2,8.8,5.8,4.6,7,6.5,4.2,5.6
1861,5.5,1.5,3.4,5,6.6,7.7,5.1,5.3,7.1,4.1,7.7,6.1,9.9,9.5,4.7,4.3,6.9,6.4,2.2,5.7
1862,6.3,0.2,3.1,4.6,7.3,7.6,5.6,5,5.5,3.8,7.9,4.7,8.8,8.4,5.6,4.2,7.7,8.4,3.4,5.7
1863,6,-1.4,3.1,4.9,5.4,7.6,4.8,5.4,6.3,2.7,7.5,5.4,9.8,9,6,4.3,6.1,5.7,3.3,5.4
1864,5.7,-0.7,5.2,4.6,6.2,7.4,5.8,4.9,6.3,3.4,8.4,4.5,8.9,8.5,6,4.4,7.3,6.4,3.7,5.6
1865,5.6,-1.6,2.5,5.2,7,7.1,5.2,5.8,4.9,6.4,7.9,5.1,9.2,9.1,5.1,4,7.3,4.8,3.9,5.5
1866,6.1,-1,3.9,4.9,6.7,7,5,5.8,5.2,4.6,7.9,5.6,9.2,8.8,5.8,4.2,6.9,6.1,3.3,5.6
1867,5.8,-1.3,2.4,5.2,6.4,7,5.6,6.3,6.7,3.2,7.9,5.5,8.3,8.8,5.3,4,6.3,4.9,3.7,5.4
1868,5.3,-0.2,2.3,4.3,5.9,7.7,5.9,4.8,4.1,3.1,8,5.6,8.8,8.5,5.3,4.6,6.9,6.5,3.9,5.3
1869,5.7,0.2,4.6,5,6.5,7.2,5,5.6,5.9,4.9,7.6,5.1,9.1,9.3,5.5,4.4,6.7,5.6,2.9,5.6
1870,5.8,-0.7,2.8,5.3,6.4,7.8,5.1,5.8,5.7,6.3,7.9,5,9.7,9.6,5.9,3.8,6.7,5.9,3.9,5.7
1871,5.4,0.5,5.2,5,6.5,7.5,6,5.3,3.7,3.1,7.7,5.1,9.7,8.7,5.4,4.5,7.3,6.2,3.9,5.6
1872,5.9,-2.4,3.5,5.2,6,7.9,5.3,5.3,4.7,3.4,7.6,6.1,9.1,9.1,6.2,4.5,6.6,4.6,4.6,5.4
1873,5.7,-0.6,4,4.8,6.2,7.5,5.8,5.3,6.7,2.9,7.8,5.3,9.3,9.8,4.8,4.7,6.3,7.3,4.4,5.7
1874,6.2,-2.4,4.1,4.9,6.4,7.5,4.7,4.9,5.4,5.2,7.8,4.9,8.6,9.2,5.7,4.8,6.8,6.9,4.2,5.6
1875,5.2,-0.8,3.4,4.7,6.3,7.6,5.9,4.3,5.1,3.4,7.8,5.5,10.3,8.9,5.3,4.3,7.4,6.6,2.8,5.5
1876,5.8,-0.9,4.2,5.1,6.5,8.5,5.1,4.6,5.3,3.7,7.9,5.1,9.6,8.5,5.6,5,6.8,5.9,3.3,5.6
1877,5.1,-0.7,3,5,6.8,7.1,6.2,5.9,6.1,5.8,7.9,4.9,9.1,9,5.8,4.1,7.5,5.7,3.5,5.7
1878,5.4,-1.1,3.5,5.2,6.7,7.2,5.6,4.8,7.2,4.2,8.3,4.9,9.2,8.8,5.4,4.6,6.7,5.9,4.1,5.6
1879,5.7,0.4,3.5,4.8,6.7,7.7,5.3,5.8,5.2,5.6,7.4,5.7,8.4,8.9,5.2,4.6,7.8,7.1,2.5,5.7
