"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,4.5,-7.3,1.3,1.4,5.6,4.9,NA,5.1,2.1,1.3,1.5,3.3,5.1,6.2,0.8,-0.2,6.9,5.9,3.1,-7.3
1851,3,-3,2.4,2.9,5.2,5.4,3.7,3.3,1,4.9,2.6,3.3,5.9,2.9,1.7,-0.5,5.2,1.5,3,-3
1852,3.9,-5.2,2.6,1.9,5.1,4.8,5.7,2.6,1.6,4.7,3.7,3.8,5.4,5.2,0.5,-1,7.1,4.7,3.2,-5.2
1853,2.7,-3.5,0.9,2.8,2.9,5.1,4.3,5.3,1.6,5,2.2,1.3,6.9,4.4,4.2,0.4,6.5,3,4.5,-3.5
1854,3.6,-3.5,2.2,3.5,3.7,4.9,4.8,3.2,1.9,4.2,1.4,3.9,6.7,4.7,2.7,1,4.2,3,4.2,-3.5
1855,3.2,-4.2,0.9,3.1,4.9,4.9,4.4,2.5,1.1,4.1,2.3,2.7,6.2,5,1.5,0.3,3,4.5,3.3,-4.2
1856,4.6,-4.1,2.9,0.9,4,5.1,5.2,2.7,0.9,4.9,2.9,1.9,6.9,4.7,1.7,-0.6,6.1,3.1,3.4,-4.1
1857,4.4,-7.2,2.2,2.4,5.4,4.9,3.3,5,1.7,3.9,4.3,3.8,5.3,4.9,1.1,1.3,2.9,3.2,4.2,-7.2
1858,3.3,-7.8,2.3,0.8,5.1,4.5,5,2.8,1.8,5.2,1.7,2.6,5.3,4.6,1.2,0.1,4.5,4.8,4.4,-7.8
1859,3.9,-7.6,-0.9,2.1,4.2,5.5,4.4,3.1,-0.1,4.6,1.8,3.6,6.9,4.2,1.2,0.8,5.8,3.2,3.7,-7.6
1860,3.8,-6.8,3.1,3,3.8,6.1,4.5,3.7,1.7,4.2,3.6,2.2,6.3,5.7,1.8,-1.9,5.2,4.4,3.6,-6.8
1861,3.8,-4.1,2.1,2.5,4.8,5.7,4.1,4.3,0.4,4.7,3,2.3,5.9,5.2,0.8,-0.3,5.6,3.2,3.8,-4.1
1862,4.6,-4.7,1.2,2.7,3.4,4.9,4.3,4.2,2.2,5.7,2.6,4.5,6.7,3.9,2.8,-1.2,5.4,3.3,2.9,-4.7
1863,4.2,-3.9,1.6,2.9,4.9,3.8,3.7,4.7,1.8,5,3.7,3.8,5.4,4.5,2,0.1,5.7,2.5,2,-3.9
1864,4.5,-9.5,1.4,2.4,5.8,5.1,4.1,4.4,2,3.4,2.6,2.1,6.6,4.9,1.6,0.5,7.5,1.5,2.5,-9.5
1865,2.2,-2.5,1.8,1.4,6,4.4,3.7,4.4,0.9,4.4,2.5,3.7,6.2,5.5,1,-0.8,5.4,4.9,2.4,-2.5
1866,3,-5.5,0.8,2.9,4.6,5.4,2.7,4.8,0.6,4.2,3.3,2.8,5.4,5,1.6,-0.5,6.2,2.8,3.6,-5.5
1867,3.5,-3.9,1.7,2.4,4.7,6.4,3.4,2.8,2.2,3.8,1.5,3.6,5.4,5.4,1.8,1,5.4,3.8,1.6,-3.9
1868,3.7,-3.6,1.9,1,5.3,6.6,3.6,5.5,1.5,3.4,3.3,4.1,5.1,5.5,2.7,0.5,5.8,2.9,3.2,-3.6
1869,3.8,-4.7,2,2.7,5.9,5,4.9,2.7,2,4.1,2.7,3.7,6.7,4.2,0.5,-1.2,6.4,2.8,3.3,-4.7
1870,4.8,-8.6,2.3,3.2,4.8,5.8,4.6,1.9,0.9,2.7,0.8,3.4,6.7,4.8,1.6,-0.5,4,2.4,3.3,-8.6
1871,4.3,-4.2,0.7,3.3,5,6.1,5,2,1.7,5.1,3.7,4.1,4.4,3.7,1.2,-2,5.4,4.4,3.4,-4.2
1872,1.6,-1,-1.8,4,4.3,4.3,4.5,5.1,1.6,3.7,3.1,2.7,7.7,6.1,2.9,1,5.6,4.8,4.2,-1.8
1873,3.1,-8,0.2,2.8,4.6,5.1,4.9,2,4.2,3.6,1.5,0.7,6,5.9,2.1,0.4,5.1,4.9,4,-8
1874,3.2,-2.3,0.8,2.3,5.9,5,2.3,2.8,-0.3,5.7,1.4,4.1,6.3,4.9,2.2,-1.5,6,4.8,3.4,-2.3
1875,3.9,-3,1,2.4,5,6.2,4.3,5.2,2.1,4.2,0.7,3.8,4.4,5.8,0.3,-0.1,5.9,4.7,3.8,-3
1876,3.2,-3.3,3.2,3.1,4.4,5.3,5.3,3.9,1.9,5.2,1.2,1.9,7.5,4.4,1.7,0.7,5.8,3.1,2.7,-3.3
1877,3.2,-3.8,0.6,2.5,5.7,5.7,2,2.7,1.7,5.1,3.4,2.9,6.9,5.3,1.8,0.5,4.6,3.1,3.7,-3.8
1878,3.9,-3.9,1.2,2.6,5.4,5,4.4,4.5,-0.5,5.3,3.3,2.9,4.1,4.7,2.6,0.9,4.2,3.9,2.8,-3.9
1879,4.5,-4.1,2.2,3.6,4.8,4.2,-0.1,3.4,1.4,5.5,3,4.2,6.6,4.3,1.3,1.6,3.9,3.9,3.1,-4.1
1880,4.1,-5,1.3,3.7,5.2,5.5,5,1.3,2.8,5.1,2.8,3.5,6.4,5.9,2.2,0.3,3.7,3.4,2.7,-5
1881,3.7,-5.7,2.9,3.3,5.2,4.4,3.5,2.9,-0.4,3.8,2.1,2.6,7.3,3.8,2.4,-1.5,3.8,3.3,2,-5.7
1882,3.7,-4,2.7,2.7,4.8,5.3,4.8,3.4,0.5,5,2.5,3.2,6.3,5.2,3.6,0.1,5.4,4.3,3.6,-4
1883,3.5,-5.2,1.4,3,4.9,5.6,5.1,4.2,1.1,4.2,2,2.7,6,5.7,1.8,-1.2,3.9,3.7,1.5,-5.2
1884,3,-4.8,-1.1,1.8,3.6,4.8,4.1,4.1,-0.8,4.4,2.4,4.2,5.7,5.2,2.2,-0.1,5.1,2.5,2.9,-4.8
1885,3.1,-6.5,-1.2,3.2,3.2,5,4.3,5.2,-0.5,4.9,2.2,3.1,4.5,4.9,2.3,0.7,5.9,4.7,4.5,-6.5
1886,3.5,-6.2,1.3,2.3,4.4,4.2,2.7,1.6,-0.1,3.2,2.5,3.6,6.5,3.6,1.4,-0.7,4.4,4.6,3.3,-6.2
1887,4.9,-2.5,2.1,2.5,5,2.4,3.6,3.1,2,3.3,1.9,3,6.5,4.9,1.2,1.5,6.3,1.9,2.9,-2.5
1888,2.7,-4.1,0.7,2.3,5.4,5.2,5.8,2.9,2,2.3,2.5,2.1,6.4,5.5,0.5,0.1,5.2,3.9,4.5,-4.1
1889,3.3,-5.5,2.1,1.4,5.2,5,3.2,4.2,3.3,3.2,2.4,3.1,6,5.9,2.1,0.6,4.4,4.9,2.8,-5.5
1890,4.3,-10,2.1,1.8,5.5,4.2,4.9,4.2,2,4.5,3.4,4.4,6.5,3.7,2.3,0.2,5.4,3.2,2.9,-10
