"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,0.7,-0.4,-3.4,-3,0.3,1.9,-3,1.2,-3,0.7,0.9,1.5,4.5,1.6,1.4,-0.4,2.8,0.2,0,-3.4
2016,1.8,-0.6,-2.9,0.4,-0.4,1.9,-3.3,-1.5,-2.6,0.8,2.4,1.2,4.8,0.2,0.2,-3,3.5,-1.1,-0.9,-3.3
2017,1.7,-0.2,-2.6,-0.6,1.4,1.9,-2.4,-0.1,-2.4,-1.6,3.1,-0.1,3.8,2.1,0.3,-1.1,1.3,1,0.5,-2.6
2018,0.9,-3.3,0.5,-0.9,0.3,1.1,-1.4,0.1,-0.7,2,2.8,-2.2,3.5,1.4,-1.3,-1.9,3.3,-1.9,0.5,-3.3
2019,0,-0.1,-1,-1.9,0.8,1.2,-1.8,1.4,-2.9,0.1,2.4,0.2,6.2,2.1,0.4,-0.5,3.8,-0.1,-0.3,-2.9
2020,-0.7,0.5,-0.7,-0.6,0.2,1.9,-1.8,0.4,-2.8,2.5,3,-0.8,2.8,0.9,-1.2,-1.1,1.3,1,-0.2,-2.8
2021,0.6,-2.2,-1.1,-0.8,0.2,0.5,1,-1.7,-3,2.3,3.6,0.6,3.6,2,-1.7,1,1,-0.4,1.1,-3
2022,1.7,-0.7,-0.9,-0.3,0.5,2.4,0.2,0.6,-0.6,2.7,3.5,0.7,3.5,1.1,1.8,-1.1,3.4,-3,1.6,-3
2023,1.9,-0.9,0.2,-0.1,1.5,1.6,-0.3,-1.8,-2.8,0.8,3.8,1.9,5.8,2.3,0.4,-1.4,0.2,-1.4,-0.2,-2.8
2024,1.6,2,1.7,-1.2,0.3,2.1,-1.5,-1,-1.9,0.5,2.9,1.6,5.1,3.3,2.5,-2.1,3.7,-0.2,0.9,-2.1
2025,2.3,0.8,-2.2,-0.3,1.4,2.1,-0.1,1,-1.9,2.1,2.1,1,3.7,2.8,-0.1,-0.6,2.4,1.7,-0.3,-2.2
2026,1.2,0.1,1.7,-0.5,0.7,3.4,-0.6,0.3,-2.4,1.5,4.5,-0.2,5,2,-0.1,-1.6,2,-1.1,0.6,-2.4
2027,1.8,0.3,-3.8,0.5,0.1,1.7,-2.1,1.2,-1.7,2.9,2.7,0.9,3.1,1.8,1.4,-1.5,0.7,0.9,1.1,-3.8
2028,2.7,1.5,-0.8,0.5,1.3,2.7,-2.4,1.9,-1.5,-0.6,3.3,-0.1,6.2,1.7,2.4,-1.7,2.6,-0.7,1,-2.4
2029,2,-1.5,3.2,-0.7,1.9,1.5,-1,-0.3,-1.6,2.2,2.2,0.4,5.5,1.3,1.2,-2.7,3.4,-0.8,1.8,-2.7
2030,2.1,0.2,-0.1,0.6,1.6,2.7,0,1.5,-1.1,1.4,0,2.2,5.5,2.7,1.7,-1.5,2.8,0.5,1.7,-1.5
2031,3.1,-0.9,0.7,0,1,3,1.2,1.6,-1.9,2.4,3.5,-1,5.9,2.5,0.4,-1.1,2.8,-0.3,2.3,-1.9
2032,1.8,0,-0.3,0,2,2.6,-0.9,0.6,-2.2,2.3,2,0,3.2,3.4,0,-1.5,2.1,-0.4,1.8,-2.2
