"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,1.8,5.9,1.9,1.2,2,1.8,NA,1.7,0.5,2.2,2.5,-2.5,5.4,2.2,-0.3,-0.6,1.7,-4.5,3.4,-4.5
1851,1.8,5.4,-1.3,0.6,1.3,1.8,-0.9,0.2,2.1,2.5,1.7,-2.6,2.6,3.4,0.6,-0.8,2.7,-4.5,2.6,-4.5
1852,1.3,2.7,-0.8,2.8,0.6,3.3,1,3.3,0.7,2.5,1.4,-1.4,6.7,2,-0.1,-1.8,3.1,-5.4,1.8,-5.4
1853,1.7,5.8,-2.5,0.2,1.6,3.9,-0.1,2.8,3.5,2.1,0.6,-1.2,4.6,2.6,-0.1,-0.6,2.9,-2.4,2.9,-2.5
1854,1.6,5,2.5,0.7,3.2,0.5,-0.8,0.6,3,1,1.2,-1.7,6.4,0.4,0.3,-3.8,1.5,-4.4,3.3,-4.4
1855,2,5.3,-0.3,0.4,1.7,2.8,-0.8,0.7,4,2.4,1.3,-1.4,6.7,1.1,0.9,-0.8,-0.1,-2.1,2,-2.1
1856,1.8,1.7,1.1,2.6,1,2.5,-1.5,4.4,2.9,2.9,1.1,-2.3,7.3,2.8,1.7,-1,1.8,-3.1,1.1,-3.1
1857,1.1,8.3,1.7,1.2,2,0.8,-1.2,0.1,0.6,1.8,2.8,-2.2,4.7,2.2,1.9,-1.2,0.4,-5.4,1.5,-5.4
1858,1.2,3.2,1.5,0.9,2.4,2.7,-0.3,4.4,2.7,4.1,1.9,-1.1,3.1,1.2,2.3,-0.3,2.9,-5,3.7,-5
1859,0.2,2.4,-1.3,0,2.9,3.7,-0.6,2.7,0.1,2.6,1,-1.3,6.3,3.6,0.2,-0.4,3.4,-4.4,3.1,-4.4
1860,1.5,8.2,2.8,1.6,-0.3,2.2,-0.2,3,0.6,3.7,1.4,-1.5,7.9,0.8,0.2,-1.8,3.8,-4.8,3.2,-4.8
1861,0.3,5,1.7,0.6,1.9,1.8,-0.4,3.3,3,3,2.8,-0.6,6.4,2.8,-0.4,-0.7,3.5,-4.6,2.2,-4.6
1862,0.9,6.9,0,0.7,2.4,0.8,0.2,1.5,2,2.1,1.1,-1.2,7.5,1.5,0,-4.1,2.1,-3.4,1.6,-4.1
1863,1.3,3,-0.2,1.4,1.3,3.1,-0.4,3.8,2,1.6,1.8,-1.1,5,1.2,-0.1,-2.2,3.3,-3.4,3.4,-3.4
1864,1.8,3,3.6,1.1,0.4,1,0.5,0.7,0.8,-0.8,1.9,-2.4,6.6,1,0.5,-1.4,2.5,-3.1,2.8,-3.1
1865,1.1,6.5,-1.7,-1,1.8,1.4,-0.6,2.2,1.4,2.4,2.7,-1.3,6.1,3.4,-1.4,-2,3.5,-4.4,3.1,-4.4
1866,1.2,6.1,-0.4,-1,1.4,0.8,-2.7,1.4,3.1,2.9,1.6,-1.4,5.6,1.6,-1.1,-0.4,1.4,-4.5,3.1,-4.5
1867,1.5,5.9,1,-0.5,1.6,3.2,1.1,2.6,0.9,3,1.1,-3.4,5.7,2.6,0.4,-1.6,0.2,-4.2,2.3,-4.2
1868,1.5,4.3,-0.5,0.3,2.3,2.5,0,3.2,3.4,0.6,2.5,-2.3,2.1,2.8,0,-0.7,0.3,-6,-0.4,-6
1869,2.3,7.3,1.6,0,2.3,3.7,-0.9,2.5,3.8,2.5,2.7,-1.6,6.6,3.4,0.2,-1.2,1.5,-3.9,3.7,-3.9
1870,1.5,3.2,0.1,1.8,0.6,2.5,-1.8,2.9,2.1,2.5,2,-0.9,4.3,1.9,1.5,-0.2,1.1,-3.1,2.9,-3.1
1871,0.9,5.5,0.5,1.7,0.9,3.6,0.5,3.7,2.1,1.9,1.9,-1.5,5.1,1,-0.8,-0.8,2.8,-3.2,2.4,-3.2
1872,1.5,1.8,0,-1.6,1.1,1.7,-0.3,2.8,-0.7,0.8,1.5,-0.2,5.1,2.6,-0.4,-1.3,2.9,-3.3,3.3,-3.3
1873,1.7,4.9,2.6,-1,0.9,3.5,0.4,0.9,1.8,2.5,2.2,-1.9,4.6,2.4,-0.6,-1.9,1.2,-3,3.8,-3
1874,2.3,2.4,3.7,2,2.9,3.1,-0.4,3.2,1.6,0.3,1.9,-2.4,2.9,3,1.2,-2.8,1,-5.2,2.9,-5.2
1875,1.6,4.4,-1,1.2,1.8,2.4,-1.6,1.1,0.6,0.5,1.6,-1.5,6.5,2.2,-1.8,-2.2,1,-3.8,2.4,-3.8
