"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,1.9,-4.5,-1.8,-1.7,-0.2,0.6,NA,-1.6,0.2,-0.9,1.5,-4.2,4.1,3.2,-1.1,-1.5,0.2,-2.8,-1,-0.5
1851,1.2,-7.4,-3,-1.1,-0.4,0.8,-2.8,-2.3,-0.7,-1,1.2,-4,3.9,2.9,-1,-1.8,0.5,-1.5,-0.4,-0.9
1852,1.5,-5.2,-3.4,-1,-0.5,0.8,-1.6,-1.6,-0.9,-0.4,0.8,-4.7,5.3,2.4,-0.6,-1.2,-0.5,-2.3,-0.4,-0.7
1853,1.6,-5,-2.8,-1.6,0,0.7,-2.4,-0.1,0.7,-0.8,0.9,-3.7,4.1,1.6,-0.8,-1.4,0.2,-0.4,-0.3,-0.5
1854,1.4,-5.7,-1.3,-1.2,0.1,0.2,-2.3,-1,0.6,-0.8,1.8,-4.7,4.8,2.2,-0.9,-2.1,0,-1.8,0.5,-0.5
1855,0.9,-3.7,-0.4,-1.6,-0.4,0.7,-2.3,-2,0.8,-0.8,0.9,-3.9,5.1,1.9,-1.4,-1.7,0.3,-1.3,-1,-0.5
1856,1.6,-5.8,-1.5,-1.3,-0.3,0.9,-2.6,-0.7,-0.1,-0.2,1.3,-3.7,5.6,3,-0.5,-0.2,-0.6,-1.4,-0.6,-0.4
1857,1.2,-2.9,-1.3,-1.7,-0.1,0.3,-2.1,-1.5,0.9,-0.9,2.6,-4.4,5.2,2.9,-0.5,-0.9,0.7,-2.5,-0.6,-0.3
1858,1.1,-7.8,-2.2,-1.9,-0.3,0.7,-2.5,-0.9,-0.8,0.4,1.6,-3.8,3.9,2.3,0.3,-0.7,0.8,-2.7,0.4,-0.6
1859,2,-6.9,-3.5,-1.2,-0.2,0.2,-2.6,-0.3,0.5,-0.8,0.9,-3.9,4.4,3.5,-1.6,-1.6,0,-1.4,-0.2,-0.7
1860,1.2,-3.2,-0.7,-0.7,0.1,0.4,-2.5,-0.5,-1.4,-0.1,1.1,-3.7,5.7,2.6,-2.5,-1.6,0.2,-1.5,0.8,-0.3
1861,0.9,-4.8,-1.9,-1.3,-0.2,1,-2.6,-1.7,1.3,-0.2,1.6,-2.7,5.5,3.7,-1.6,-0.5,0.3,-1.7,-0.9,-0.3
1862,1.5,-4.3,-2.4,-1.6,0,1.1,-2.8,-1.8,0.4,-0.7,0.5,-3.6,5.2,2.5,-1.8,-2.2,0.6,-1.2,-0.8,-0.6
1863,1.5,-5.8,-2.8,-1.7,-0.5,0.4,-3.1,-1.9,0.9,-1.6,1.1,-4,4.6,2.5,-0.3,-2,0.1,-2.8,-0.4,-0.8
1864,1.2,-5.7,0.3,-2.5,-0.1,0.8,-2.3,-1.9,0.1,-1.4,2.4,-4.9,5.6,2,-0.4,-1.3,0.9,-1.4,0.2,-0.4
1865,1.5,-4.7,-2.7,-0.4,-0.1,0.7,-3.3,-0.5,-0.5,0.9,1.5,-3.9,5.2,2.6,-1.6,-2.3,0.4,-3.3,0,-0.6
1866,1.6,-4.6,-3.1,-2.2,-0.1,0.8,-3,-1.5,1.3,0.7,0.9,-3.8,5.3,2.2,-1.4,-1,0.2,-1.8,-0.2,-0.5
1867,1.3,-5.4,-2.1,-1.8,-0.2,1,-1.9,-0.4,0,0.1,1.3,-3.9,4,3.2,-0.9,-1.1,-0.4,-2.6,-0.3,-0.5
1868,1.4,-2.3,-3.4,-2.3,-0.5,1.2,-1.7,-1.9,0.9,-1.8,2.2,-4.1,3.5,2.5,-1.4,-1.5,-0.3,-2.2,-0.5,-0.6
1869,1.7,-4,-1.5,-1.6,-0.4,1.2,-3.3,-1.1,1.2,0.3,1.6,-4,6.3,3.4,-0.9,-1.1,-0.2,-2,-0.2,-0.2
1870,1.3,-4.6,-3.4,-1.2,-0.6,0.7,-3.3,-0.8,0.5,1.6,1.5,-4.2,5.1,3.5,-0.3,-1.2,0,-2.3,-0.1,-0.4
1871,1.3,-6.6,-0.3,-1.8,-0.8,0.7,-1.9,-1.2,-0.7,-1.4,1.7,-4,5.2,2.4,-0.3,-0.9,1,-2,0.5,-0.5
1872,1.8,-6.8,-1.7,-1.8,0,0.6,-2.4,-0.9,-1,-0.3,1.8,-2.7,4.2,3.3,-0.8,-0.9,0.1,-1.6,-0.3,-0.5
1873,1.5,-3.5,-1.2,-1.4,-0.6,1.4,-2.3,-2,0.2,-0.9,1.9,-4.2,4.5,3.7,-1.9,-1.7,-0.9,-1.2,-0.3,-0.5
1874,1.7,-6.5,0.2,-1.4,0.1,0.2,-3.4,-1.6,0.1,0.5,1.5,-4,3.5,2.9,-0.6,-1.1,0.1,-2.3,-0.2,-0.5
1875,1.1,-5,-3.2,-1.3,-0.6,1.2,-2.2,-2.1,0,-0.4,1.3,-3.7,6.1,2.4,-0.7,-2,0.3,-2.3,-0.2,-0.6
1876,1.5,-3.3,-0.2,-1.5,-0.2,2,-3,-1.7,0.4,-0.1,1.8,-4.3,6.1,2.1,-0.9,-0.3,1,-2,0,-0.1
1877,1.2,-2.8,-2.9,-2.2,-0.3,0.6,-2.2,-1.3,0.7,0.4,0.9,-4.6,4.5,2.4,-0.6,-1.8,1.3,-2.5,-1,-0.5
1878,1.3,-5.5,-1.5,-1.1,0,1,-2.8,-1.8,1.8,0.5,2.3,-4.8,4.6,2.6,-0.5,-0.9,-0.5,-1.9,-0.3,-0.4
1879,1.8,-5.3,-2.4,-1.6,0,0.4,-2.9,-0.7,0.2,0.9,1.1,-3.2,3.6,3.5,-2,-1.4,0.5,-0.4,-0.6,-0.4
1880,2.2,-3.1,-1.4,-1.5,0.2,0.9,-2.1,-0.8,0.1,0.3,1.5,-4.5,5.7,2.9,-1.5,-0.9,0.7,-1.5,-0.3,-0.2
1881,1,-1.5,-3.2,-1.1,-1,1.3,-2.4,-1.6,0.3,-0.5,1.3,-4.3,5,2.1,-0.2,-1.6,0.6,-1.1,0.1,-0.4
1882,1.4,-5.6,-2.3,-0.9,-1.1,1.2,-2.9,-2,0.7,-0.6,1.2,-4,4.1,2.2,-1,-1.2,-0.1,-1.8,-0.4,-0.7
1883,0.8,-4.1,-2.3,-1.2,0.3,0.6,-2.7,-2,0.2,-0.5,0.9,-3.7,3.9,2.7,-1.5,-2.5,-0.1,-1.3,-0.6,-0.7
