"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,0.3,-1,-3.8,0.7,0.4,1.4,0.1,-1.4,0.3,-0.3,-2,-0.4,3.9,2.4,0.4,-2.1,0.2,-2.1,-2.6,-0.3
2016,0.3,0.7,-1.2,-0.4,0.6,1.6,-0.1,0.4,0.4,0.1,-2.6,-0.8,3.7,2.7,-0.2,-1.1,1.6,-1.9,-2.5,0.1
2017,0.9,0.6,-0.7,0,0.7,2,-0.1,1.8,-0.6,-1.4,-1.5,-0.8,1.2,2.9,0.5,-1.2,1.7,-1.1,-1.6,0.2
2018,1.1,0.6,-1,0.2,0.7,1.2,0.6,-2,-0.6,-0.6,-0.8,-0.4,3.2,2.3,0.8,-0.7,2.4,-0.5,-1.8,0.2
2019,0.7,0.1,-0.1,0.5,1,1.7,0.7,1.2,-0.2,-1.8,-1.8,0.2,2.5,2.4,0.9,-1,2.3,-1.6,-1.2,0.3
2020,1.3,0.5,-0.5,-0.5,1,1.7,0.8,1.1,0,-2.2,-1.4,0.8,3.4,3,0.8,-1.3,4.2,-0.8,-2.2,0.5
2021,1.2,1.8,-2.2,0.4,1.4,1.9,0.6,0.5,0.3,-1.2,-2.3,0.6,2.4,3,1.2,-1.1,1.7,-0.3,-1.7,0.4
2022,1.1,1.1,-1.4,0.7,0.8,1.9,0.5,0.2,-0.1,-1.4,-0.3,0.4,1.9,2.5,1,-0.6,2.7,0.2,-1.1,0.5
2023,1.5,1.2,-3,0.4,0.8,2.1,0.5,-2.3,0.6,-0.3,-0.3,-0.4,4.3,2,1.2,-1.1,1.7,0,-1.8,0.4
2024,1.4,1.5,-4.7,0.9,1.4,2.7,0.2,-0.5,1.3,-3.2,0.6,0.8,3.9,2.2,2,-1.2,1.5,-1.1,-1.1,0.5
2025,1,1.6,-2.3,0.9,0.8,2.1,0.3,1.1,1.1,-1,0.8,1,3.5,3.3,1.2,-1,2.1,-2,-1.5,0.7
2026,1.2,2.8,-1.8,0.3,0.7,1.7,1.8,0.2,0.8,-0.4,0.5,-0.1,2.6,3.4,1.2,-1,2.1,-0.4,-1.7,0.7
2027,1,2.2,-2.7,0.9,0.8,2,0.6,0.8,0.3,0.1,-0.8,0.9,2.2,3.1,0.8,-0.4,1.2,0,-1.5,0.6
2028,0.9,1.9,-2.5,0.7,1.6,2.2,0.9,1.3,0.9,0.7,0.2,1.1,4.3,3.6,1.8,-1.2,2.4,-1,-1.2,1
2029,1.2,0.9,-0.4,1,0.6,2.3,1,1.9,1.1,-0.6,0.9,0.9,4.1,3.5,0.6,-0.7,2.8,-1.1,-1.3,1
2030,1.2,0.3,-2.5,1.1,0.9,2.2,1.1,2.9,0.5,-2.6,1.2,0.1,2.4,3.4,0.3,-0.5,1.6,-0.3,-0.7,0.7
2031,0.8,1.4,-1.4,1.1,0.7,2.6,0.8,2.1,0.4,-0.5,-1.6,1.1,2.4,3.2,0.7,-0.4,4.3,-1.1,-0.7,0.8
2032,1.1,1.4,-2.2,1.2,0.9,2.2,1.5,0.1,0.6,-0.2,-1.1,0.9,3,3.8,1.3,-0.6,2.9,-0.6,-1.6,0.8
2033,1.2,1.7,-1.1,1.4,1.2,1.5,0.5,0.7,1.6,-1.2,-0.3,1.6,5.6,2.9,1.3,-1.4,2.6,-0.9,-1.2,0.9
2034,1.5,0.9,0,0.8,1.5,1.9,0.7,1.6,0.7,-2.2,-1.2,1.1,4,2.8,0.6,-0.7,1.9,-0.8,-0.7,0.8
2035,1.5,1.2,-1.1,0.8,1.2,2.7,0.4,0.7,0.1,-2.3,1.2,1.1,3.9,3.7,2.4,-0.1,0.1,0.5,-1.3,0.9
2036,2,3.5,0.8,1.3,1.3,2.4,0.7,0.3,0.1,-0.3,-1.1,1.2,1.9,3.4,1.1,-0.1,2.3,-1,-0.8,1
2037,1.8,2.9,-1.3,1.3,2.1,2.4,1.6,1.5,0.8,0.3,-0.5,1,3.5,2.9,0.7,-1,2.6,-0.6,-0.6,1.1
2038,1.6,1.7,0.1,1.4,1.7,2.5,2.2,1,1.6,-1.9,-0.4,1.6,5.4,3.3,1.6,-0.1,2.1,-1.4,-0.3,1.2
2039,1.8,2.1,0.1,1.1,1.8,2.2,1.7,0.1,1.4,-0.2,1.5,1.2,4.2,4,3,-0.3,2.6,-1.4,-0.3,1.4
2040,1.7,1.6,0.2,0.9,1.5,2.7,1.5,0.2,0.8,-0.5,0.7,0.5,4,3.3,1.5,-0.1,2.8,-0.4,-0.3,1.2
2041,2,-0.8,-0.6,1.4,1.4,2.9,0.7,2.2,1,-1.3,0.6,1.5,2.7,3.3,2.6,-0.5,2.3,-1.2,-0.6,1
2042,2.2,1.2,0.4,1.1,1.6,2.7,0.7,2,1.9,0.5,-0.5,1.3,5.3,3.1,0.7,0.1,1.4,-0.2,-0.5,1.3
2043,1.6,0.5,1.2,2,1.4,2.2,2.2,1.8,1.4,0,-1.2,1.6,4.3,3.9,1.4,0,2.6,-1.8,0.1,1.3
2044,1.6,2.9,-1.6,1.8,1.2,2.7,0.5,0.6,1.8,0.5,0.2,0.6,4.3,3.9,1.4,-0.6,2.7,-0.2,-0.3,1.3
2045,1.7,1,-1.5,2,1.3,2.6,0.9,2.5,1.3,-2.8,0.1,2.2,3,3.7,2.4,-0.3,3.9,0.8,0.3,1.3
2046,1.4,1.8,1.2,1.8,1.6,2.9,1.7,2.1,1.3,-0.4,0.1,1,5.1,3.9,2.5,-0.6,2,-1.1,0.7,1.5
2047,1.7,1.7,0,2.1,1.5,2.2,1.1,2,1.2,2.2,0.3,1.3,3.2,4.2,2.8,-0.7,2.3,-1.2,-0.1,1.5
2048,2.2,1.3,-1.6,1.4,2.4,2.5,1.1,0.8,1.9,0.4,0.7,1,3.5,3.5,1.4,-0.7,2.3,0.7,-0.9,1.3
2049,1.8,2.2,-2.6,1.9,2.1,2.8,1.5,1.5,1.1,-0.9,-1.2,0.7,2.8,4,0.9,0.2,0.5,0,-0.4,1
2050,2.2,1.4,-0.4,1.6,0.8,2.8,1.2,1.8,1.2,-0.3,-2.2,1.2,3.5,3.5,0.5,-0.1,2.1,-0.4,-0.2,1.1
2051,2,2.6,-1,2,1.9,2.4,1.7,0.9,1.3,0.1,1.7,2,2.8,4.2,1.2,-0.4,4.1,0.4,-0.2,1.6
2052,2.1,3.5,0.7,1.9,2,2.2,1.3,1.9,0.4,1,1.2,0.9,1.6,4.1,1.6,0.2,1.9,0.8,-0.2,1.5
2053,2,1.6,0.7,1.8,1.8,2.3,1.4,0.2,1.5,-0.7,-1.3,2.3,3.7,3.7,2.5,-0.4,3.4,2,0.8,1.5
